Date,Closing Price (USD)
2015-06-18,247.2359
2015-06-19,249.0733
2015-06-20,240.7897
2015-06-21,244.15625
2015-06-22,244.9588
2015-06-23,247.1273
2015-06-24,243.371
2015-06-25,240.9204
2015-06-26,242.31912
2015-06-27,242.28812
2015-06-28,250.382
2015-06-29,249.42725
2015-06-30,258.38549
2015-07-01,261.71749
2015-07-02,259.62937
2015-07-03,255.52675
2015-07-04,253.87887
2015-07-05,261.42899
2015-07-06,267.60762
2015-07-07,270.07587
2015-07-08,264.356
2015-07-09,267.943
2015-07-10,269.24925
2015-07-11,286.53662
2015-07-12,301.03837
2015-07-13,304.9905
2015-07-14,290.93137
2015-07-15,288.48787
2015-07-16,287.55762
2015-07-17,276.97924
2015-07-18,278.33337
2015-07-19,275.30687
2015-07-20,274.28387
2015-07-21,279.45925
2015-07-22,274.87242
2015-07-23,276.2095
2015-07-24,276.24491
2015-07-25,287.55583
2015-07-26,287.83983
2015-07-27,291.20091
2015-07-28,293.15058
2015-07-29,292.99425
2015-07-30,288.61658
2015-07-31,286.74491
2015-08-01,282.33741
2015-08-02,278.68258
2015-08-03,279.48591
2015-08-04,283.49091
2015-08-05,284.24366
2015-08-06,280.9375
2015-08-07,275.92866
2015-08-08,278.2765
2015-08-09,261.75225
2015-08-10,265.0825
2015-08-11,264.87516
2015-08-12,270.22325
2015-08-13,264.14299
2015-08-14,262.01758
2015-08-15,265.3955
2015-08-16,261.20058
2015-08-17,258.0065
2015-08-18,256.44841
2015-08-19,230.38424
2015-08-20,232.06483
2015-08-21,234.56375
2015-08-22,233.03691
2015-08-23,231.21275
2015-08-24,227.23233
2015-08-25,203.18133
2015-08-26,219.81583
2015-08-27,224.53608
2015-08-28,224.18875
2015-08-29,230.93575
2015-08-30,230.58541
2015-08-31,227.18083
2015-09-01,229.02966
2015-09-02,226.28841
2015-09-03,228.35299
2015-09-04,227.14741
2015-09-05,229.66691
2015-09-06,240.70116
2015-09-07,239.88
2015-09-08,242.01891
2015-09-09,244.31383
2015-09-10,237.99466
2015-09-11,240.56366
2015-09-12,239.81675
2015-09-13,235.053
2015-09-14,229.15808
2015-09-15,230.51091
2015-09-16,230.98066
2015-09-17,229.58975
2015-09-18,233.2385
2015-09-19,232.50008
2015-09-20,231.33733
2015-09-21,230.75433
2015-09-22,227.79358
2015-09-23,231.30983
2015-09-24,231.09508
2015-09-25,233.74475
2015-09-26,234.92466
2015-09-27,234.32908
2015-09-28,237.21116
2015-09-29,238.56625
2015-09-30,238.06125
2015-10-01,237.15191
2015-10-02,238.06358
2015-10-03,237.63516
2015-10-04,238.99883
2015-10-05,238.82433
2015-10-06,240.63075
2015-10-07,246.49633
2015-10-08,244.49816
2015-10-09,243.25675
2015-10-10,244.96533
2015-10-11,245.07
2015-10-12,247.65041
2015-10-13,244.57641
2015-10-14,249.45908
2015-10-15,254.64216
2015-10-16,255.72741
2015-10-17,267.53983
2015-10-18,270.04041
2015-10-19,264.98625
2015-10-20,264.92575
2015-10-21,270.49541
2015-10-22,267.46908
2015-10-23,274.25325
2015-10-24,279.97908
2015-10-25,286.86941
2015-10-26,284.286
2015-10-27,287.83091
2015-10-28,300.53566
2015-10-29,304.32691
2015-10-30,326.55691
2015-10-31,327.58425
2015-11-01,311.70274
2015-11-02,325.64666
2015-11-03,369.51133
